Date,Points earned,Points redeemed,Points refunded,Points expired,Manual adjustment,Net points change
"June 1, 2026,""37,994"",""-2,000"",""-1,464"",0,0,""34,530"""
"May 1, 2026,""50,639"",""-1,700"",""-1,206"",0,0,""47,733"""
"April 1, 2026,""63,672"",-400,""-1,980"",0,0,""61,292"""
"March 1, 2026,""50,632"",""-1,300"",-858,0,0,""48,474"""
"February 1, 2026,""52,583"",""-1,700"",""-3,041"",0,""1,610"",""49,452"""
"January 1, 2026,""85,347"",""-3,600"",""-2,687"",0,0,""79,060"""
"December 1, 2025,""251,995"",""-16,000"",""-27,658"",0,0,""208,337"""
"November 1, 2025,""451,156"",""-7,600"",""-2,769"",0,0,""440,787"""
"October 1, 2025,""143,814"",""-3,600"",-99,0,0,""140,115"""
